Iter,HyperCD*,RUC,LB,SUC
1,1819043,1819043,1819043,1243173
2,577707,590774,1546795,525921
3,315045,319222,1517367,262723
4,182367,183944,1512951,137419
5,108003,108721,1512126,71997
6,64667,64997,1511882,37656
7,39977,40158,1511802,20538
8,25172,25295,1511769,11388
9,16545,16626,1511748,6647
10,11056,11114,1511741,3950
11,7729,7778,1511733,2488
12,5731,5767,1511733,1679
13,4397,4424,1511729,1129
14,3307,3328,1511727,758
15,2616,2635,1511726,458
16,2163,2179,1511726,350
17,1924,1941,1511726,342
18,1640,1666,1511726,324
19,1246,1265,1511726,301
20,807,829,1511726,274
21,796,822,1511726,197
22,851,863,1511726,56
23,791,791,1511726,32
24,685,685,1511726,21
25,499,499,1511726,19
26,326,326,1511726,2
27,41,41,1511726,0